"Date","Open","High","Low","Close","Volume"
"Thu Apr 13 2023 11:45:00 GMT+0530 (India Standard Time)","17864.25","17873.75","17864.25","17869.50","4650.00"
"Thu Apr 13 2023 11:55:00 GMT+0530 (India Standard Time)","17869.50","17879.00","17859.50","17862.40","7400.00"
"Thu Apr 13 2023 12:05:00 GMT+0530 (India Standard Time)","17862.40","17865.00","17852.30","17853.00","5000.00"
"Thu Apr 13 2023 12:15:00 GMT+0530 (India Standard Time)","17853.00","17854.65","17838.00","17844.00","8400.00"
"Thu Apr 13 2023 12:25:00 GMT+0530 (India Standard Time)","17844.00","17853.55","17835.00","17835.00","6800.00"
"Thu Apr 13 2023 12:35:00 GMT+0530 (India Standard Time)","17835.00","17859.90","17835.00","17859.00","7700.00"
"Thu Apr 13 2023 12:45:00 GMT+0530 (India Standard Time)","17859.00","17865.00","17855.10","17862.45","4150.00"
"Thu Apr 13 2023 12:55:00 GMT+0530 (India Standard Time)","17865.95","17884.30","17864.75","17873.90","7800.00"
"Thu Apr 13 2023 13:05:00 GMT+0530 (India Standard Time)","17873.90","17875.00","17855.05","17858.00","6150.00"
"Thu Apr 13 2023 13:15:00 GMT+0530 (India Standard Time)","17858.00","17863.85","17853.25","17860.00","2100.00"
"Thu Apr 13 2023 13:25:00 GMT+0530 (India Standard Time)","17860.00","17881.00","17857.05","17880.00","3900.00"
"Thu Apr 13 2023 13:35:00 GMT+0530 (India Standard Time)","17880.00","17888.00","17874.00","17879.95","6800.00"
"Thu Apr 13 2023 13:45:00 GMT+0530 (India Standard Time)","17879.95","17883.40","17865.00","17876.40","5050.00"
"Thu Apr 13 2023 13:55:00 GMT+0530 (India Standard Time)","17876.40","17894.00","17876.40","17893.85","9900.00"
"Thu Apr 13 2023 14:05:00 GMT+0530 (India Standard Time)","17893.85","17898.00","17883.20","17883.75","5450.00"
"Thu Apr 13 2023 14:15:00 GMT+0530 (India Standard Time)","17883.75","17905.90","17882.65","17901.85","11550.00"
"Thu Apr 13 2023 14:25:00 GMT+0530 (India Standard Time)","17901.85","17912.95","17895.80","17904.15","10400.00"
"Thu Apr 13 2023 14:35:00 GMT+0530 (India Standard Time)","17904.15","17907.00","17897.35","17900.90","14900.00"
"Thu Apr 13 2023 14:45:00 GMT+0530 (India Standard Time)","17900.90","17921.00","17900.90","17919.95","13900.00"
"Thu Apr 13 2023 14:55:00 GMT+0530 (India Standard Time)","17919.95","17932.60","17910.15","17921.10","16400.00"
"Thu Apr 13 2023 15:05:00 GMT+0530 (India Standard Time)","17921.10","17936.00","17920.25","17933.80","16600.00"
"Thu Apr 13 2023 15:15:00 GMT+0530 (India Standard Time)","17933.80","17941.00","17933.15","17940.70","22750.00"
"Thu Apr 13 2023 15:25:00 GMT+0530 (India Standard Time)","17940.40","17942.95","17934.25","17935.00","25550.00"
"Mon Apr 17 2023 09:15:00 GMT+0530 (India Standard Time)","17914.30","17914.30","17775.00","17782.90","158800.00"
"Mon Apr 17 2023 09:25:00 GMT+0530 (India Standard Time)","17784.95","17785.95","17747.05","17763.60","82400.00"
"Mon Apr 17 2023 09:35:00 GMT+0530 (India Standard Time)","17763.00","17769.95","17749.05","17756.30","63550.00"
"Mon Apr 17 2023 09:45:00 GMT+0530 (India Standard Time)","17758.35","17776.75","17735.00","17735.00","55500.00"
"Mon Apr 17 2023 09:55:00 GMT+0530 (India Standard Time)","17735.00","17739.85","17705.55","17713.85","54150.00"
"Mon Apr 17 2023 10:05:00 GMT+0530 (India Standard Time)","17714.40","17739.80","17712.45","17738.50","32900.00"
"Mon Apr 17 2023 10:15:00 GMT+0530 (India Standard Time)","17738.50","17771.95","17738.00","17771.00","25900.00"
"Mon Apr 17 2023 10:25:00 GMT+0530 (India Standard Time)","17772.00","17774.00","17752.00","17755.95","18800.00"
"Mon Apr 17 2023 10:35:00 GMT+0530 (India Standard Time)","17756.25","17772.00","17755.00","17772.00","10150.00"
"Mon Apr 17 2023 10:45:00 GMT+0530 (India Standard Time)","17774.40","17802.00","17772.00","17781.00","28900.00"
"Mon Apr 17 2023 10:55:00 GMT+0530 (India Standard Time)","17781.00","17798.35","17776.25","17776.25","10550.00"
"Mon Apr 17 2023 11:05:00 GMT+0530 (India Standard Time)","17776.25","17787.70","17766.70","17775.00","10150.00"
"Mon Apr 17 2023 11:15:00 GMT+0530 (India Standard Time)","17775.00","17786.35","17772.50","17780.60","5250.00"
"Mon Apr 17 2023 11:25:00 GMT+0530 (India Standard Time)","17780.60","17789.10","17775.85","17777.00","5200.00"
"Mon Apr 17 2023 11:35:00 GMT+0530 (India Standard Time)","17777.00","17799.00","17775.00","17793.75","10200.00"
"Mon Apr 17 2023 11:45:00 GMT+0530 (India Standard Time)","17793.75","17799.75","17785.00","17794.90","9900.00"
"Mon Apr 17 2023 11:55:00 GMT+0530 (India Standard Time)","17794.90","17796.15","17779.10","17782.00","3800.00"
"Mon Apr 17 2023 12:05:00 GMT+0530 (India Standard Time)","17782.00","17795.10","17778.40","17789.30","7050.00"
"Mon Apr 17 2023 12:15:00 GMT+0530 (India Standard Time)","17789.30","17804.95","17788.75","17803.60","12200.00"
"Mon Apr 17 2023 12:25:00 GMT+0530 (India Standard Time)","17803.60","17820.00","17803.60","17820.00","16650.00"
"Mon Apr 17 2023 12:35:00 GMT+0530 (India Standard Time)","17819.30","17827.65","17807.00","17807.00","22600.00"
"Mon Apr 17 2023 12:45:00 GMT+0530 (India Standard Time)","17807.00","17819.70","17804.50","17818.85","7700.00"
"Mon Apr 17 2023 12:55:00 GMT+0530 (India Standard Time)","17818.85","17818.85","17782.00","17782.40","9000.00"
"Mon Apr 17 2023 13:05:00 GMT+0530 (India Standard Time)","17785.60","17799.90","17781.00","17796.15","10500.00"
"Mon Apr 17 2023 13:15:00 GMT+0530 (India Standard Time)","17796.15","17796.15","17778.40","17785.00","7050.00"
"Mon Apr 17 2023 13:25:00 GMT+0530 (India Standard Time)","17785.00","17790.30","17776.05","17788.25","5450.00"
"Mon Apr 17 2023 13:35:00 GMT+0530 (India Standard Time)","17788.25","17806.50","17781.30","17803.30","5950.00"
"Mon Apr 17 2023 13:45:00 GMT+0530 (India Standard Time)","17803.30","17805.25","17795.80","17804.85","4000.00"
"Mon Apr 17 2023 13:55:00 GMT+0530 (India Standard Time)","17804.85","17811.00","17795.75","17797.10","6250.00"
"Mon Apr 17 2023 14:05:00 GMT+0530 (India Standard Time)","17797.10","17810.00","17797.00","17810.00","5750.00"
"Mon Apr 17 2023 14:15:00 GMT+0530 (India Standard Time)","17810.00","17815.00","17800.35","17810.00","5650.00"
"Mon Apr 17 2023 14:25:00 GMT+0530 (India Standard Time)","17810.00","17825.00","17809.00","17825.00","9600.00"
"Mon Apr 17 2023 14:35:00 GMT+0530 (India Standard Time)","17825.00","17825.00","17795.90","17808.75","11600.00"
"Mon Apr 17 2023 14:45:00 GMT+0530 (India Standard Time)","17808.75","17819.50","17801.00","17802.55","4900.00"
"Mon Apr 17 2023 14:55:00 GMT+0530 (India Standard Time)","17802.55","17824.95","17802.40","17824.50","11300.00"
"Mon Apr 17 2023 15:05:00 GMT+0530 (India Standard Time)","17824.50","17830.00","17818.45","17822.50","17500.00"
"Mon Apr 17 2023 15:15:00 GMT+0530 (India Standard Time)","17822.50","17824.10","17813.50","17817.35","21200.00"
"Mon Apr 17 2023 15:25:00 GMT+0530 (India Standard Time)","17818.20","17818.25","17808.10","17813.00","16200.00"
"Tue Apr 18 2023 09:15:00 GMT+0530 (India Standard Time)","17813.30","17836.75","17755.45","17821.15","46550.00"
"Tue Apr 18 2023 09:25:00 GMT+0530 (India Standard Time)","17821.15","17835.00","17805.25","17829.20","26250.00"
"Tue Apr 18 2023 09:35:00 GMT+0530 (India Standard Time)","17828.25","17831.70","17807.70","17812.00","12900.00"
"Tue Apr 18 2023 09:45:00 GMT+0530 (India Standard Time)","17808.00","17812.00","17766.00","17766.00","25900.00"
"Tue Apr 18 2023 09:55:00 GMT+0530 (India Standard Time)","17770.00","17777.35","17760.05","17774.10","16150.00"
"Tue Apr 18 2023 10:05:00 GMT+0530 (India Standard Time)","17774.10","17774.10","17755.60","17763.45","10600.00"
"Tue Apr 18 2023 10:15:00 GMT+0530 (India Standard Time)","17763.45","17763.45","17740.00","17751.00","20950.00"
"Tue Apr 18 2023 10:25:00 GMT+0530 (India Standard Time)","17751.00","17768.70","17746.00","17765.35","13100.00"
"Tue Apr 18 2023 10:35:00 GMT+0530 (India Standard Time)","17765.35","17786.00","17764.00","17785.90","13700.00"
"Tue Apr 18 2023 10:45:00 GMT+0530 (India Standard Time)","17785.90","17794.50","17775.95","17783.80","10600.00"
"Tue Apr 18 2023 10:55:00 GMT+0530 (India Standard Time)","17783.80","17786.65","17775.20","17775.20","9100.00"
"Tue Apr 18 2023 11:05:00 GMT+0530 (India Standard Time)","17775.20","17784.15","17772.45","17784.15","3700.00"
"Tue Apr 18 2023 11:15:00 GMT+0530 (India Standard Time)","17784.15","17788.45","17778.90","17784.15","4050.00"
"Tue Apr 18 2023 11:25:00 GMT+0530 (India Standard Time)","17784.15","17789.30","17775.00","17775.15","2200.00"
"Tue Apr 18 2023 11:35:00 GMT+0530 (India Standard Time)","17775.15","17785.00","17775.15","17779.50","3200.00"
"Tue Apr 18 2023 11:45:00 GMT+0530 (India Standard Time)","17779.50","17779.50","17762.00","17766.55","9750.00"
"Tue Apr 18 2023 11:55:00 GMT+0530 (India Standard Time)","17766.55","17778.85","17762.30","17775.85","5300.00"
"Tue Apr 18 2023 12:05:00 GMT+0530 (India Standard Time)","17775.85","17790.00","17775.85","17787.35","4350.00"
"Tue Apr 18 2023 12:15:00 GMT+0530 (India Standard Time)","17787.35","17795.00","17785.00","17785.60","5300.00"
"Tue Apr 18 2023 12:25:00 GMT+0530 (India Standard Time)","17785.60","17797.75","17784.00","17796.00","4100.00"
"Tue Apr 18 2023 12:35:00 GMT+0530 (India Standard Time)","17796.00","17802.00","17794.05","17799.90","8650.00"
"Tue Apr 18 2023 12:45:00 GMT+0530 (India Standard Time)","17799.90","17801.95","17794.25","17800.90","6100.00"
"Tue Apr 18 2023 12:55:00 GMT+0530 (India Standard Time)","17800.90","17818.75","17798.70","17806.55","8850.00"
"Tue Apr 18 2023 13:05:00 GMT+0530 (India Standard Time)","17806.55","17807.90","17790.00","17790.70","5750.00"
"Tue Apr 18 2023 13:15:00 GMT+0530 (India Standard Time)","17790.70","17791.00","17775.30","17781.05","9250.00"
"Tue Apr 18 2023 13:25:00 GMT+0530 (India Standard Time)","17781.05","17781.45","17763.00","17763.00","14550.00"
"Tue Apr 18 2023 13:35:00 GMT+0530 (India Standard Time)","17763.00","17765.00","17729.20","17729.20","41700.00"
"Tue Apr 18 2023 13:45:00 GMT+0530 (India Standard Time)","17729.00","17736.65","17721.00","17724.00","29550.00"
"Tue Apr 18 2023 13:55:00 GMT+0530 (India Standard Time)","17724.00","17748.95","17720.80","17734.65","17200.00"
"Tue Apr 18 2023 14:05:00 GMT+0530 (India Standard Time)","17734.65","17754.85","17728.00","17747.50","9150.00"
"Tue Apr 18 2023 14:15:00 GMT+0530 (India Standard Time)","17747.50","17753.60","17736.00","17744.25","12400.00"
"Tue Apr 18 2023 14:25:00 GMT+0530 (India Standard Time)","17745.00","17759.00","17745.00","17759.00","7500.00"
"Tue Apr 18 2023 14:35:00 GMT+0530 (India Standard Time)","17759.00","17759.00","17736.00","17754.65","12050.00"
"Tue Apr 18 2023 14:45:00 GMT+0530 (India Standard Time)","17754.65","17770.25","17750.55","17770.20","11900.00"
"Tue Apr 18 2023 14:55:00 GMT+0530 (India Standard Time)","17770.20","17780.00","17758.90","17779.95","23250.00"
"Tue Apr 18 2023 15:05:00 GMT+0530 (India Standard Time)","17779.95","17779.95","17766.45","17772.00","8550.00"
"Tue Apr 18 2023 15:15:00 GMT+0530 (India Standard Time)","17772.00","17774.90","17765.15","17769.70","14200.00"
"Tue Apr 18 2023 15:25:00 GMT+0530 (India Standard Time)","17770.00","17772.75","17768.60","17772.75","13850.00"
"Wed Apr 19 2023 09:15:00 GMT+0530 (India Standard Time)","17765.05","17765.05","17725.00","17731.05","35350.00"
"Wed Apr 19 2023 09:25:00 GMT+0530 (India Standard Time)","17729.95","17772.90","17728.45","17754.00","19250.00"
"Wed Apr 19 2023 09:35:00 GMT+0530 (India Standard Time)","17754.00","17759.00","17736.50","17737.20","11900.00"
"Wed Apr 19 2023 09:45:00 GMT+0530 (India Standard Time)","17737.20","17750.00","17731.20","17746.45","12200.00"
"Wed Apr 19 2023 09:55:00 GMT+0530 (India Standard Time)","17746.45","17749.90","17726.70","17726.70","11300.00"
"Wed Apr 19 2023 10:05:00 GMT+0530 (India Standard Time)","17726.70","17740.00","17720.25","17731.95","11700.00"
"Wed Apr 19 2023 10:15:00 GMT+0530 (India Standard Time)","17731.95","17745.35","17731.95","17738.50","9800.00"
"Wed Apr 19 2023 10:25:00 GMT+0530 (India Standard Time)","17738.50","17755.00","17733.00","17748.30","4950.00"
"Wed Apr 19 2023 10:35:00 GMT+0530 (India Standard Time)","17748.30","17748.95","17732.00","17735.60","5200.00"
"Wed Apr 19 2023 10:45:00 GMT+0530 (India Standard Time)","17735.60","17745.85","17735.60","17745.85","4100.00"
"Wed Apr 19 2023 10:55:00 GMT+0530 (India Standard Time)","17745.85","17750.00","17742.00","17748.40","5550.00"
"Wed Apr 19 2023 11:05:00 GMT+0530 (India Standard Time)","17748.40","17754.00","17746.00","17749.15","4300.00"
"Wed Apr 19 2023 11:15:00 GMT+0530 (India Standard Time)","17749.15","17752.90","17735.00","17739.95","3350.00"
"Wed Apr 19 2023 11:25:00 GMT+0530 (India Standard Time)","17739.95","17746.95","17733.05","17740.90","2750.00"
"Wed Apr 19 2023 11:35:00 GMT+0530 (India Standard Time)","17740.90","17770.00","17740.90","17749.40","10400.00"
"Wed Apr 19 2023 11:45:00 GMT+0530 (India Standard Time)","17749.40","17755.00","17742.50","17747.15","10950.00"
"Wed Apr 19 2023 11:55:00 GMT+0530 (India Standard Time)","17747.15","17760.85","17747.15","17755.65","3100.00"
"Wed Apr 19 2023 12:05:00 GMT+0530 (India Standard Time)","17755.65","17764.10","17754.35","17757.60","2450.00"
"Wed Apr 19 2023 12:15:00 GMT+0530 (India Standard Time)","17757.60","17766.30","17753.90","17755.70","8550.00"
"Wed Apr 19 2023 12:25:00 GMT+0530 (India Standard Time)","17755.70","17763.90","17745.00","17763.35","6900.00"
"Wed Apr 19 2023 12:35:00 GMT+0530 (India Standard Time)","17764.00","17767.60","17756.95","17756.95","4600.00"
"Wed Apr 19 2023 12:45:00 GMT+0530 (India Standard Time)","17756.95","17769.00","17756.95","17762.95","4650.00"
"Wed Apr 19 2023 12:55:00 GMT+0530 (India Standard Time)","17762.95","17766.10","17748.30","17749.60","5000.00"
"Wed Apr 19 2023 13:05:00 GMT+0530 (India Standard Time)","17749.60","17749.60","17736.00","17739.10","9150.00"
"Wed Apr 19 2023 13:15:00 GMT+0530 (India Standard Time)","17739.10","17740.55","17730.00","17735.85","10050.00"
"Wed Apr 19 2023 13:25:00 GMT+0530 (India Standard Time)","17735.85","17742.30","17716.10","17723.00","15600.00"
"Wed Apr 19 2023 13:35:00 GMT+0530 (India Standard Time)","17724.70","17732.15","17700.00","17700.00","26450.00"
"Wed Apr 19 2023 13:45:00 GMT+0530 (India Standard Time)","17698.45","17706.30","17690.00","17702.10","21650.00"
"Wed Apr 19 2023 13:55:00 GMT+0530 (India Standard Time)","17701.00","17711.10","17691.30","17692.30","31800.00"
"Wed Apr 19 2023 14:05:00 GMT+0530 (India Standard Time)","17691.55","17707.80","17686.95","17699.15","29000.00"
"Wed Apr 19 2023 14:15:00 GMT+0530 (India Standard Time)","17699.15","17714.50","17693.80","17713.00","13950.00"
"Wed Apr 19 2023 14:25:00 GMT+0530 (India Standard Time)","17713.00","17715.10","17705.00","17710.70","6900.00"
"Wed Apr 19 2023 14:35:00 GMT+0530 (India Standard Time)","17710.70","17711.90","17691.80","17697.00","16450.00"
"Wed Apr 19 2023 14:45:00 GMT+0530 (India Standard Time)","17697.00","17708.05","17694.85","17699.05","9850.00"
"Wed Apr 19 2023 14:55:00 GMT+0530 (India Standard Time)","17699.05","17713.25","17691.00","17709.30","17100.00"
"Wed Apr 19 2023 15:05:00 GMT+0530 (India Standard Time)","17711.00","17728.60","17709.30","17720.00","19200.00"
"Wed Apr 19 2023 15:15:00 GMT+0530 (India Standard Time)","17720.00","17722.00","17706.50","17706.50","15800.00"
"Wed Apr 19 2023 15:25:00 GMT+0530 (India Standard Time)","17706.50","17709.45","17703.75","17706.00","14300.00"
"Thu Apr 20 2023 09:15:00 GMT+0530 (India Standard Time)","17730.75","17775.00","17721.35","17771.95","54300.00"
"Thu Apr 20 2023 09:25:00 GMT+0530 (India Standard Time)","17771.95","17779.70","17765.00","17774.00","28800.00"
"Thu Apr 20 2023 09:35:00 GMT+0530 (India Standard Time)","17774.00","17780.00","17770.00","17774.00","17450.00"
"Thu Apr 20 2023 09:45:00 GMT+0530 (India Standard Time)","17774.00","17775.20","17750.00","17755.10","19750.00"
"Thu Apr 20 2023 09:55:00 GMT+0530 (India Standard Time)","17755.10","17755.10","17735.05","17741.15","36100.00"
"Thu Apr 20 2023 10:05:00 GMT+0530 (India Standard Time)","17741.40","17742.25","17725.00","17728.00","31350.00"
"Thu Apr 20 2023 10:15:00 GMT+0530 (India Standard Time)","17728.00","17740.00","17727.55","17737.40","11150.00"
"Thu Apr 20 2023 10:25:00 GMT+0530 (India Standard Time)","17735.00","17737.40","17691.95","17691.95","34000.00"
"Thu Apr 20 2023 10:35:00 GMT+0530 (India Standard Time)","17692.35","17705.00","17690.70","17695.15","19650.00"
"Thu Apr 20 2023 10:45:00 GMT+0530 (India Standard Time)","17695.15","17708.25","17691.00","17702.00","9300.00"
"Thu Apr 20 2023 10:55:00 GMT+0530 (India Standard Time)","17702.00","17712.85","17700.05","17704.00","15100.00"
"Thu Apr 20 2023 11:05:00 GMT+0530 (India Standard Time)","17704.00","17709.75","17692.00","17706.00","8200.00"
"Thu Apr 20 2023 11:15:00 GMT+0530 (India Standard Time)","17706.30","17719.65","17706.00","17717.40","8100.00"
"Thu Apr 20 2023 11:25:00 GMT+0530 (India Standard Time)","17717.40","17725.35","17713.75","17723.60","10000.00"
"Thu Apr 20 2023 11:35:00 GMT+0530 (India Standard Time)","17723.60","17728.00","17712.30","17713.00","14100.00"
"Thu Apr 20 2023 11:45:00 GMT+0530 (India Standard Time)","17713.00","17727.00","17705.90","17718.40","8650.00"
"Thu Apr 20 2023 11:55:00 GMT+0530 (India Standard Time)","17718.40","17724.95","17717.10","17719.90","3850.00"
"Thu Apr 20 2023 12:05:00 GMT+0530 (India Standard Time)","17719.90","17721.20","17710.45","17713.65","6700.00"
"Thu Apr 20 2023 12:15:00 GMT+0530 (India Standard Time)","17713.35","17725.00","17710.00","17718.25","8050.00"
"Thu Apr 20 2023 12:25:00 GMT+0530 (India Standard Time)","17718.25","17724.40","17712.00","17714.00","14600.00"
"Thu Apr 20 2023 12:35:00 GMT+0530 (India Standard Time)","17714.00","17715.00","17699.30","17703.40","27700.00"
"Thu Apr 20 2023 12:45:00 GMT+0530 (India Standard Time)","17703.40","17708.95","17695.00","17706.00","17600.00"
"Thu Apr 20 2023 12:55:00 GMT+0530 (India Standard Time)","17706.00","17707.50","17694.00","17695.75","22050.00"
"Thu Apr 20 2023 13:05:00 GMT+0530 (India Standard Time)","17695.75","17698.10","17674.55","17685.00","59400.00"
"Thu Apr 20 2023 13:15:00 GMT+0530 (India Standard Time)","17685.00","17694.80","17682.05","17688.20","16150.00"
"Thu Apr 20 2023 13:25:00 GMT+0530 (India Standard Time)","17688.20","17693.30","17680.05","17682.40","12600.00"
"Thu Apr 20 2023 13:35:00 GMT+0530 (India Standard Time)","17682.40","17693.15","17681.00","17688.95","13000.00"
"Thu Apr 20 2023 13:45:00 GMT+0530 (India Standard Time)","17685.80","17703.80","17683.05","17695.25","14750.00"
"Thu Apr 20 2023 13:55:00 GMT+0530 (India Standard Time)","17695.25","17697.10","17678.45","17682.00","15800.00"
"Thu Apr 20 2023 14:05:00 GMT+0530 (India Standard Time)","17682.00","17690.00","17672.90","17684.95","19650.00"
"Thu Apr 20 2023 14:15:00 GMT+0530 (India Standard Time)","17684.95","17705.55","17682.90","17697.35","16600.00"
"Thu Apr 20 2023 14:25:00 GMT+0530 (India Standard Time)","17697.35","17701.00","17688.75","17701.00","14950.00"
"Thu Apr 20 2023 14:35:00 GMT+0530 (India Standard Time)","17701.00","17701.30","17692.00","17695.45","27150.00"
"Thu Apr 20 2023 14:45:00 GMT+0530 (India Standard Time)","17695.45","17700.00","17690.35","17693.90","15450.00"
"Thu Apr 20 2023 14:55:00 GMT+0530 (India Standard Time)","17694.60","17707.95","17690.00","17705.20","37450.00"
"Thu Apr 20 2023 15:05:00 GMT+0530 (India Standard Time)","17705.90","17720.25","17705.90","17718.35","39700.00"
"Thu Apr 20 2023 15:15:00 GMT+0530 (India Standard Time)","17718.10","17720.00","17712.20","17717.15","35350.00"
"Thu Apr 20 2023 15:25:00 GMT+0530 (India Standard Time)","17717.15","17719.45","17713.65","17718.95","12250.00"
"Fri Apr 21 2023 09:15:00 GMT+0530 (India Standard Time)","17721.75","17740.00","17714.80","17732.00","40100.00"
"Fri Apr 21 2023 09:25:00 GMT+0530 (India Standard Time)","17733.20","17746.00","17716.65","17716.65","29150.00"
"Fri Apr 21 2023 09:35:00 GMT+0530 (India Standard Time)","17716.65","17742.90","17707.80","17708.00","33250.00"
"Fri Apr 21 2023 09:45:00 GMT+0530 (India Standard Time)","17708.00","17721.60","17699.00","17702.40","14500.00"
"Fri Apr 21 2023 09:55:00 GMT+0530 (India Standard Time)","17701.35","17708.05","17691.00","17696.15","18500.00"
"Fri Apr 21 2023 10:05:00 GMT+0530 (India Standard Time)","17696.05","17703.05","17691.00","17699.05","13250.00"
"Fri Apr 21 2023 10:15:00 GMT+0530 (India Standard Time)","17699.05","17703.15","17680.00","17681.00","21150.00"
"Fri Apr 21 2023 10:25:00 GMT+0530 (India Standard Time)","17681.00","17694.00","17675.85","17691.05","20950.00"
"Fri Apr 21 2023 10:35:00 GMT+0530 (India Standard Time)","17691.05","17698.00","17682.95","17682.95","15950.00"
"Fri Apr 21 2023 10:45:00 GMT+0530 (India Standard Time)","17682.95","17692.90","17674.00","17691.25","16400.00"
"Fri Apr 21 2023 10:55:00 GMT+0530 (India Standard Time)","17691.25","17691.25","17682.00","17689.20","7150.00"
"Fri Apr 21 2023 11:05:00 GMT+0530 (India Standard Time)","17689.20","17698.00","17685.90","17693.10","13600.00"
"Fri Apr 21 2023 11:15:00 GMT+0530 (India Standard Time)","17693.10","17699.00","17686.00","17688.00","9000.00"
"Fri Apr 21 2023 11:25:00 GMT+0530 (India Standard Time)","17688.00","17694.95","17685.00","17692.60","5900.00"
"Fri Apr 21 2023 11:35:00 GMT+0530 (India Standard Time)","17692.60","17697.25","17685.00","17694.00","10300.00"
"Fri Apr 21 2023 11:45:00 GMT+0530 (India Standard Time)","17694.00","17698.00","17690.00","17690.00","10400.00"
"Fri Apr 21 2023 11:55:00 GMT+0530 (India Standard Time)","17690.00","17702.20","17685.20","17689.50","13650.00"
"Fri Apr 21 2023 12:05:00 GMT+0530 (India Standard Time)","17689.50","17691.30","17675.95","17681.25","10900.00"
"Fri Apr 21 2023 12:15:00 GMT+0530 (India Standard Time)","17680.00","17681.25","17675.50","17680.00","10050.00"
"Fri Apr 21 2023 12:25:00 GMT+0530 (India Standard Time)","17680.00","17682.70","17665.00","17670.00","20300.00"
"Fri Apr 21 2023 12:35:00 GMT+0530 (India Standard Time)","17670.00","17684.00","17670.00","17675.00","10350.00"
"Fri Apr 21 2023 12:45:00 GMT+0530 (India Standard Time)","17675.00","17681.00","17672.00","17674.00","17350.00"
"Fri Apr 21 2023 12:55:00 GMT+0530 (India Standard Time)","17674.00","17680.00","17646.00","17649.00","48800.00"
"Fri Apr 21 2023 13:05:00 GMT+0530 (India Standard Time)","17649.00","17656.00","17644.10","17649.00","37900.00"
"Fri Apr 21 2023 13:15:00 GMT+0530 (India Standard Time)","17649.00","17668.15","17647.75","17666.25","21600.00"
"Fri Apr 21 2023 13:25:00 GMT+0530 (India Standard Time)","17666.25","17688.75","17666.00","17680.05","24700.00"
"Fri Apr 21 2023 13:35:00 GMT+0530 (India Standard Time)","17680.05","17690.00","17677.00","17681.00","30000.00"
"Fri Apr 21 2023 13:45:00 GMT+0530 (India Standard Time)","17681.00","17699.00","17680.00","17697.00","28350.00"
"Fri Apr 21 2023 13:55:00 GMT+0530 (India Standard Time)","17697.95","17697.95","17690.05","17692.00","10700.00"
"Fri Apr 21 2023 14:05:00 GMT+0530 (India Standard Time)","17692.00","17695.00","17684.00","17689.00","11850.00"
"Fri Apr 21 2023 14:15:00 GMT+0530 (India Standard Time)","17689.00","17714.00","17685.00","17708.00","22700.00"
"Fri Apr 21 2023 14:25:00 GMT+0530 (India Standard Time)","17708.00","17728.00","17707.25","17717.05","38400.00"
"Fri Apr 21 2023 14:35:00 GMT+0530 (India Standard Time)","17715.00","17716.70","17701.40","17705.00","11800.00"
"Fri Apr 21 2023 14:45:00 GMT+0530 (India Standard Time)","17705.00","17716.35","17703.00","17709.10","16250.00"
"Fri Apr 21 2023 14:55:00 GMT+0530 (India Standard Time)","17710.00","17726.00","17708.00","17716.85","31700.00"
"Fri Apr 21 2023 15:05:00 GMT+0530 (India Standard Time)","17716.85","17727.00","17714.00","17727.00","22650.00"
"Fri Apr 21 2023 15:15:00 GMT+0530 (India Standard Time)","17723.00","17727.00","17708.00","17708.00","25450.00"
"Fri Apr 21 2023 15:25:00 GMT+0530 (India Standard Time)","17707.85","17711.05","17704.85","17707.05","30400.00"
"Mon Apr 24 2023 09:15:00 GMT+0530 (India Standard Time)","17750.00","17773.15","17735.20","17750.75","86850.00"
"Mon Apr 24 2023 09:25:00 GMT+0530 (India Standard Time)","17754.00","17755.00","17720.05","17728.70","70650.00"
